GrNr;TrialNr;ParticipantNr;EMO;SIG;SYNCIX
1;1;1;-1;0.15121191;0.43825858
1;1;2;-1;0.11415739;0.51526475
1;1;3;-1;0.37085029;0.40890504
1;1;4;0;0.12699439;0.77308898
1;2;1;-1;0.04073461;0.98001986
1;2;2;-1;0.024932542;0.98589053
1;2;3;-1;0.011022139;0.95911957
1;2;4;1;0.058686766;0.98183814
1;3;1;-1;0.020387933;0.97519405
1;3;2;-1;0.020646613;0.97858771
1;3;3;0;0.035372771;0.95846623
1;3;4;-1;0.054330336;0.94452521
1;4;1;-1;0.055375761;0.95822941
1;4;2;-1;0.027183695;0.98595934
1;4;3;0;0.045349402;0.90787616
1;4;4;1;0.015705844;0.98588419
1;5;1;-1;0.012336225;0.97255106
1;5;2;-1;0.011139858;0.99105276
1;5;3;1;0.009622028;0.97975312
1;5;4;-1;0.020653994;0.973089
1;6;1;-1;0.036744941;0.9324576
1;6;2;-1;0.066309479;0.95060497
1;6;3;1;0.036631965;0.99054381
1;6;4;0;0.02305543;0.98382884
1;7;1;-1;0.022198122;0.9912863
1;7;2;0;0.030386906;0.99267115
1;7;3;-1;0.0840361;0.97288166
1;7;4;0;0.011035074;0.96611794
1;8;1;-1;0.042459123;0.99399327
1;8;2;0;0.017775725;0.97365586
1;8;3;-1;0.04068974;0.97475618
1;8;4;1;0.071630865;0.9691275
1;9;1;-1;0.031853579;0.99048334
1;9;2;0;0.091302854;0.9291945
1;9;3;0;0.022820413;0.98891059
1;9;4;-1;0.018459813;0.97285288
1;10;1;-1;0.12423196;0.95140293
1;10;2;0;0.11852489;0.9792969
1;10;3;0;0.12993191;0.96043452
1;10;4;1;0.45628221;0.39408085
1;11;1;-1;0.018757561;0.9671122
1;11;2;0;0.008872314;0.98826503
1;11;3;1;0.009893097;0.97661025
1;11;4;-1;0.005702474;0.98906693
1;12;1;-1;0.16704438;0.99172951
1;12;2;0;0.033563306;0.97147766
1;12;3;1;0.027887621;0.97649234
1;12;4;0;0.050729139;0.96192413
1;13;1;-1;0.29258171;0.98704408
1;13;2;1;0.24254111;0.93785785
1;13;3;-1;0.25793702;0.95557288
1;13;4;0;0.90122921;0.6947663
1;14;1;-1;0.023213549;0.97292333
1;14;2;1;0.03422618;0.97534559
1;14;3;-1;0.12042352;0.81897616
1;14;4;1;0.061475845;0.98327215
1;15;1;-1;0.047776579;0.98107647
1;15;2;1;0.016025914;0.98715201
1;15;3;0;0.060912787;0.94979151
1;15;4;-1;0.043539421;0.98775128
1;16;1;-1;0.017832365;0.98095313
1;16;2;1;0.013515991;0.97609446
1;16;3;0;0.012091797;0.97023282
1;16;4;1;0.046080843;0.98765601
1;17;1;-1;0.066581732;0.98170648
1;17;2;1;0.061925887;0.98865652
1;17;3;1;0.079995591;0.85360491
1;17;4;-1;0.12590279;0.77760525
1;18;1;-1;0.0504114;0.97675732
1;18;2;1;0.008379976;0.97318167
1;18;3;1;0.028327337;0.9894401
1;18;4;0;0.01542234;0.94436091
1;19;1;0;0.028643275;0.96098096
1;19;2;-1;0.050366752;0.97355698
1;19;3;-1;0.19423027;0.70540561
1;19;4;0;0.044808859;0.95998214
1;20;1;0;0.016465666;0.95739835
1;20;2;-1;0.054567405;0.99249476
1;20;3;-1;0.043950234;0.96920645
1;20;4;1;0.10460055;0.96085446
1;21;1;0;0.002350498;0.98581127
1;21;2;-1;0.005135279;0.98057086
1;21;3;0;0.003884865;0.98451351
1;21;4;-1;0.006841101;0.98938329
1;22;1;0;0.016341656;0.97666857
1;22;2;-1;0.01304009;0.99485062
1;22;3;0;0.016248429;0.97267854
1;22;4;1;0.010821085;0.99280942
1;23;1;0;0.028377942;0.94206106
1;23;2;-1;0.016943165;0.9701953
1;23;3;1;0.020446221;0.96692609
1;23;4;-1;0.027849919;0.94346718
1;24;1;0;0.007476504;0.97697006
1;24;2;-1;0.011069888;0.98950778
1;24;3;1;0.010940733;0.9804891
1;24;4;0;0.023594733;0.97841902
1;25;1;0;0.025849332;0.92517762
1;25;2;0;0.012341141;0.97741872
1;25;3;-1;0.080473126;0.85936989
1;25;4;0;0.059365028;0.98586141
1;26;1;0;0.072654394;0.98477894
1;26;2;0;0.018491155;0.95720834
1;26;3;-1;0.052206955;0.9580606
1;26;4;1;0.02958283;0.98273003
1;27;1;0;0.021687503;0.97047114
1;27;2;0;0.02441956;0.99472128
1;27;3;0;0.019497047;0.98238029
1;27;4;-1;0.058562882;0.92456818
1;28;1;0;0.1902033;0.9658764
1;28;2;0;0.059505826;0.98378876
1;28;3;0;0.075197286;0.99184299
1;28;4;1;0.044601044;0.96450859
1;29;1;0;0.030989087;0.98485589
1;29;2;0;0.040686708;0.98643214
1;29;3;1;0.027946494;0.95892324
1;29;4;-1;0.082249994;0.98398706
1;30;1;0;0.042664804;0.98722269
1;30;2;0;0.025770683;0.96852933
1;30;3;1;0.049144113;0.95733751
1;30;4;0;0.026623174;0.9777268
1;31;1;0;0.008423973;0.98782075
1;31;2;1;0.006094582;0.98138158
1;31;3;-1;0.01082501;0.98996919
1;31;4;0;0.02275037;0.95986492
1;32;1;0;0.061266493;0.97051325
1;32;2;1;0.034428322;0.97896455
1;32;3;-1;0.055520457;0.96899284
1;32;4;1;0.21407571;0.99193218
1;33;1;0;0.070039521;0.98950812
1;33;2;1;0.024325869;0.98388936
1;33;3;0;0.020696501;0.9548651
1;33;4;-1;0.059521669;0.96857911
1;34;1;0;0.017878853;0.98112521
1;34;2;1;0.012612353;0.97526935
1;34;3;0;0.019803295;0.96211489
1;34;4;1;0.027681466;0.97907258
1;35;1;0;0.038487785;0.93989053
1;35;2;1;0.023709076;0.98660607
1;35;3;1;0.11731386;0.82805569
1;35;4;-1;0.044022737;0.98727778
1;36;1;0;0.050733196;0.97081972
1;36;2;1;0.068665981;0.99467398
1;36;3;1;0.038663218;0.87299932
1;36;4;0;0.14403375;0.93866848
1;37;1;1;0.027985716;0.97789619
1;37;2;-1;0.012412577;0.9762408
1;37;3;-1;0.041819069;0.9736631
1;37;4;0;0.080247287;0.95841682
1;38;1;1;0.00810874;0.97067725
1;38;2;-1;0.010232187;0.99163804
1;38;3;-1;0.057414458;0.90814404
1;38;4;1;0.028246995;0.97949118
1;39;1;1;0.028216042;0.98574991
1;39;2;-1;0.03580401;0.9826459
1;39;3;0;0.03440058;0.94978453
1;39;4;-1;0.14266823;0.81579342
1;40;1;1;0.027220628;0.98429594
1;40;2;-1;0.007134338;0.97296713
1;40;3;0;0.021323575;0.96431544
1;40;4;1;0.047245015;0.95685498
1;41;1;1;0.029576592;0.98567595
1;41;2;-1;0.04378909;0.99389367
1;41;3;1;0.026083119;0.97814012
1;41;4;-1;0.072449887;0.98499288
1;42;1;1;0.08098093;0.87177998
1;42;2;-1;0.031801887;0.97722227
1;42;3;1;0.036595467;0.95906342
1;42;4;0;0.035214892;0.91057497
1;43;1;1;0.022050881;0.96267488
1;43;2;0;0.011830752;0.9675629
1;43;3;-1;0.017450104;0.95770412
1;43;4;0;0.085407319;0.88096152
1;44;1;1;0.047744406;0.97565989
1;44;2;0;0.081753128;0.98953423
1;44;3;-1;0.044530871;0.98186201
1;44;4;1;0.28233991;0.95110581
1;45;1;1;0.026975936;0.96793028
1;45;2;0;0.093856054;0.99104211
1;45;3;0;0.092142646;0.97118828
1;45;4;-1;0.32324641;0.95159248
1;46;1;1;0.11780056;0.91770535
1;46;2;0;0.096896067;0.94882531
1;46;3;0;0.10072094;0.93833117
1;46;4;1;0.50237805;0.67307182
1;47;1;1;0.021721284;0.99151687
1;47;2;0;0.036586522;0.96880426
1;47;3;1;0.017132409;0.96674434
1;47;4;-1;0.026176564;0.97745198
1;48;1;1;0.027401656;0.98568476
1;48;2;0;0.028379627;0.98675077
1;48;3;1;0.063205067;0.98987176
1;48;4;0;0.041006108;0.98441007
1;49;1;1;0.032953129;0.98687418
1;49;2;1;0.029218776;0.96474094
1;49;3;-1;0.051316311;0.96700678
1;49;4;0;0.037494539;0.96545501
1;50;1;1;0.029211417;0.98442977
1;50;2;1;0.009548987;0.97739385
1;50;3;-1;0.031156795;0.95651478
1;50;4;1;0.022731247;0.98854503
1;51;1;1;0.11149834;0.97919377
1;51;2;1;0.10160309;0.96036433
1;51;3;0;0.084220074;0.97624377
1;51;4;-1;0.24390064;0.98097674
1;52;1;1;0.009817548;0.97682453
1;52;2;1;0.026355927;0.98342374
1;52;3;0;0.016110231;0.98728076
1;52;4;1;0.041598002;0.98244904
1;53;1;1;0.022111045;0.96830294
1;53;2;1;0.018533085;0.98631929
1;53;3;1;0.012470493;0.98791209
1;53;4;-1;0.041779831;0.97494969
1;54;1;1;0.033801331;0.99195443
1;54;2;1;0.022266108;0.9799288
1;54;3;1;0.033106386;0.95499874
1;54;4;0;0.026819949;0.95463646
2;1;5;-1;0.12203288;0.67452325
2;1;6;-1;0.17679387;0.82624565
2;1;7;-1;0.061955493;0.83609543
2;1;8;0;0.33470644;0.61594406
2;2;5;-1;0.59721369;0.63015444
2;2;6;-1;0.1537046;0.98738934
2;2;7;-1;0.19912594;0.98356982
2;2;8;1;0.11922182;0.96101756
2;3;5;-1;0.10278368;0.97471915
2;3;6;-1;0.094734304;0.97652407
2;3;7;0;0.13959778;0.95380269
2;3;8;-1;0.21826616;0.6867446
2;4;5;-1;0.076914546;0.73822836
2;4;6;-1;0.28806909;0.51871649
2;4;7;0;0.11576531;0.64001728
2;4;8;1;0.1290865;0.7561717
2;5;5;-1;0.14580418;0.83959602
2;5;6;-1;0.056409277;0.98572536
2;5;7;1;0.065433395;0.97908412
2;5;8;-1;0.039440902;0.9780319
2;6;5;-1;0.049443227;0.9788219
2;6;6;-1;0.062191917;0.98397049
2;6;7;1;0.11224464;0.97170947
2;6;8;0;0.1120996;0.82036114
2;7;5;-1;0.019158032;0.98738105
2;7;6;0;0.015001376;0.98789313
2;7;7;-1;0.043735492;0.95097752
2;7;8;0;0.018554895;0.9647125
2;8;5;-1;0.004728588;0.98003357
2;8;6;0;0.013718745;0.99090882
2;8;7;-1;0.026500425;0.94853224
2;8;8;1;0.006995313;0.99462594
2;9;5;-1;0.28220474;0.49492469
2;9;6;0;0.10040235;0.93621754
2;9;7;0;0.088243045;0.96996958
2;9;8;-1;0.10901751;0.94409886
2;10;5;-1;0.35900621;0.37954287
2;10;6;0;0.094320997;0.9828168
2;10;7;0;0.13177614;0.96239029
2;10;8;1;0.15360896;0.85171338
2;11;5;-1;0.32471118;0.36557875
2;11;6;0;0.14173382;0.95996505
2;11;7;1;0.1434327;0.91836558
2;11;8;-1;0.097284208;0.9337091
2;12;5;-1;0.026452149;0.92236872
2;12;6;0;0.041397278;0.96895499
2;12;7;1;0.024504917;0.95188845
2;12;8;0;0.024905773;0.96014461
2;13;5;-1;0.11737461;0.79108458
2;13;6;1;0.075668764;0.94573597
2;13;7;-1;0.0439692;0.92049507
2;13;8;0;0.08126303;0.79147004
2;14;5;-1;0.10239944;0.82504938
2;14;6;1;0.062334023;0.99152489
2;14;7;-1;0.035392168;0.96825994
2;14;8;1;0.031869068;0.93383069
2;15;5;-1;0.13997105;0.68585248
2;15;6;1;0.08206244;0.94939967
2;15;7;0;0.096301418;0.97339184
2;15;8;-1;0.17503499;0.95579317
2;16;5;-1;0.022829193;0.96949978
2;16;6;1;0.017557456;0.98146355
2;16;7;0;0.033278269;0.94889369
2;16;8;1;0.015945973;0.96015894
2;17;5;-1;0.087794791;0.96997077
2;17;6;1;0.073871871;0.98157588
2;17;7;1;0.073540368;0.94606566
2;17;8;-1;0.096145963;0.77896238
2;18;5;-1;0.062941789;0.93260835
2;18;6;1;0.060190384;0.98826142
2;18;7;1;0.05452273;0.93627377
2;18;8;0;0.11398864;0.82999061
2;19;5;0;0.043261625;0.96139479
2;19;6;-1;0.029335706;0.9523984
2;19;7;-1;0.063904907;0.96704438
2;19;8;0;0.2014089;0.78652626
2;20;5;0;0.2101802;0.64141596
2;20;6;-1;0.078747115;0.84049213
2;20;7;-1;0.07343302;0.92753792
2;20;8;1;0.07204155;0.77151347
2;21;5;0;0.19865187;0.87259205
2;21;6;-1;0.048023243;0.95015318
2;21;7;0;0.090469431;0.96729607
2;21;8;-1;0.065744161;0.82744313
2;22;5;0;0.089993486;0.91342213
2;22;6;-1;0.091145131;0.98120854
2;22;7;0;0.043826974;0.92342535
2;22;8;1;0.19212051;0.81917064
